x.bar,y.bar,xybar,x.edge,y.edge,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,letter
10,8,10,7,9,8,12,8,11,?,14,13,?,7,6,X
11,9,11,15,6,7,9,?,16,9,15,11,10,?,19,M
6,6,3,0,2,?,9,11,13,?,12,8,?,8,5,L
8,8,9,4,12,14,12,?,?,10,12,16,10,12,?,B
7,16,12,3,2,6,12,5,6,9,14,?,15,?,4,V
15,10,9,11,0,7,11,6,?,11,14,?,13,12,?,W
8,15,14,5,4,?,11,10,?,6,?,14,17,10,5,T
4,19,15,2,6,?,13,7,8,4,13,12,?,14,?,P
9,10,9,11,0,5,12,9,11,?,14,11,?,13,4,W
11,10,10,3,11,11,10,6,?,11,12,11,12,?,5,S
11,9,13,3,7,9,11,5,7,?,16,?,11,8,?,B
11,9,7,3,6,13,11,9,12,9,?,11,13,?,8,Q
11,10,10,10,1,6,12,9,13,11,?,10,14,12,9,W
13,7,14,8,7,7,10,9,10,15,14,9,?,12,?,A
9,10,8,4,6,10,10,4,8,9,15,18,?,?,5,R
13,8,15,7,8,11,?,11,8,11,14,13,?,11,4,B
10,12,12,5,12,9,10,9,13,?,12,13,15,10,?,F
10,15,11,3,2,9,13,8,9,9,?,13,16,8,5,T
6,12,12,2,3,?,12,1,4,6,14,?,13,?,2,P
10,11,10,3,11,12,10,?,7,?,12,12,11,11,5,S
8,14,9,2,2,?,?,3,3,?,14,14,?,8,4,Y
6,13,13,3,4,8,12,?,10,8,?,11,14,9,6,F
8,12,13,3,4,10,11,7,9,5,13,?,15,11,7,P
14,3,12,3,3,4,?,7,8,12,14,?,10,10,4,A
8,12,8,11,9,?,?,8,12,12,?,14,10,10,10,K
8,11,14,3,5,14,14,9,10,16,11,9,?,11,4,C
13,3,14,3,3,5,?,5,6,13,?,?,12,11,1,A
9,19,10,1,0,7,?,6,10,10,?,?,11,?,3,T
9,10,9,3,6,12,13,4,6,12,14,?,10,?,5,E
12,11,17,3,4,7,13,?,13,7,12,?,?,7,8,F
11,9,13,1,4,?,12,?,3,9,15,13,12,?,3,B
6,12,14,4,3,8,11,4,5,14,16,15,13,?,3,K
11,8,9,3,12,12,13,7,11,11,12,?,?,?,6,S
7,10,9,2,5,?,11,5,?,18,?,15,12,8,4,C
11,11,18,4,5,7,14,?,14,6,?,12,12,?,8,P
4,16,12,4,1,6,12,9,11,?,13,13,14,10,6,V
11,11,9,6,7,8,?,?,8,8,?,13,12,10,7,B
9,12,17,3,5,10,9,13,11,?,?,14,14,8,?,T
9,8,9,9,0,?,10,?,11,11,10,10,?,17,9,M
10,10,9,6,2,9,9,?,6,9,?,?,14,?,4,N
11,14,7,2,3,8,15,5,9,13,15,?,?,6,3,Y
7,14,13,2,5,9,12,4,5,?,12,?,13,10,?,F
8,14,19,6,6,10,11,?,14,5,14,11,13,?,?,P
13,15,4,4,7,9,14,6,?,17,13,14,?,12,8,Q
10,9,13,2,10,10,12,?,10,15,14,?,?,8,4,E
11,10,10,8,6,8,?,?,?,11,13,10,13,13,11,W
11,9,8,3,9,13,13,8,9,12,?,11,11,?,5,E
9,10,6,8,1,15,12,?,?,11,12,12,12,18,6,N
6,14,11,12,3,5,13,11,13,12,?,?,16,10,8,W
11,12,10,4,11,7,11,?,?,10,?,14,?,10,5,I
10,8,9,5,1,13,10,7,?,?,13,13,11,18,5,H
9,10,7,8,1,16,11,?,?,11,12,10,?,?,4,N
10,6,9,3,2,?,9,4,4,?,?,17,13,?,2,A
14,7,18,1,0,8,11,6,5,12,?,13,10,7,?,J
7,15,11,9,2,5,13,4,7,12,?,18,?,11,?,W
11,12,10,7,8,6,13,?,15,9,?,12,17,?,?,P
14,6,13,4,9,?,15,9,7,11,14,13,8,?,5,Q
5,19,16,1,5,9,?,8,?,4,12,11,13,15,4,P
10,9,9,11,3,10,8,5,7,10,15,?,?,11,5,M
9,11,9,6,9,9,12,8,9,11,13,?,?,11,9,M
12,9,8,11,7,7,?,?,14,14,13,10,10,12,11,G
10,9,14,3,6,7,13,4,5,9,15,?,11,9,4,B
9,9,9,0,1,8,10,?,5,?,10,?,13,11,1,I
9,8,10,7,0,9,10,3,2,11,?,18,10,15,?,M
11,7,12,8,10,11,9,?,13,12,12,?,15,?,10,A
10,10,16,2,7,10,12,4,?,12,15,16,?,7,2,Z
10,11,9,8,8,10,10,8,?,?,14,14,?,10,8,T
12,8,9,11,8,8,?,?,12,13,14,14,11,?,11,G
10,9,10,6,11,?,12,10,11,?,14,11,?,8,9,E
8,9,14,3,6,12,13,8,9,14,?,?,11,?,5,G
10,4,13,0,4,?,11,9,13,?,13,?,?,5,7,L
9,9,14,3,5,12,12,11,12,?,12,11,12,?,6,G
12,5,12,5,4,?,10,?,?,12,14,16,10,11,4,A
8,9,12,5,5,?,9,14,15,?,15,13,12,5,6,X
9,11,10,8,11,?,13,10,?,10,14,12,13,12,14,M
10,10,14,3,7,9,10,13,?,?,13,11,?,8,7,T
10,6,7,4,5,14,11,6,10,?,?,?,13,12,3,Q
7,11,11,4,6,12,14,?,?,20,13,12,12,?,5,C
10,8,12,6,12,6,11,?,?,12,13,9,14,11,8,G
11,11,8,8,8,5,10,9,?,10,11,13,?,11,11,P
10,11,10,8,7,9,12,8,9,11,?,14,?,11,?,H
12,9,12,7,10,6,?,9,?,11,11,12,9,9,9,K
9,8,8,11,10,9,?,?,11,?,14,14,11,10,12,H
4,15,14,8,3,4,13,10,?,11,?,16,?,?,7,W
11,7,18,0,1,?,12,3,?,14,14,14,12,8,2,J
12,10,12,7,7,8,11,8,8,11,?,?,11,9,6,R
11,10,10,7,10,8,12,11,12,15,?,12,11,?,?,E
9,9,9,4,2,?,11,7,7,?,14,12,13,10,5,U
12,10,13,4,4,12,10,9,?,6,16,11,?,9,7,D
11,8,13,3,3,7,12,5,5,10,?,14,?,9,?,B
10,4,8,6,8,?,11,11,14,?,15,13,?,12,10,Q
10,11,9,5,1,15,12,?,9,?,12,16,13,19,?,H
10,6,11,1,4,?,10,8,?,?,12,13,10,6,5,L
7,10,9,2,5,17,?,?,11,?,13,18,14,7,4,C
10,10,10,7,8,10,11,?,13,10,13,11,?,10,7,O
11,9,13,3,4,?,?,5,3,11,13,14,13,12,2,O
10,10,13,5,5,9,13,?,16,10,?,13,?,8,?,H
6,9,10,3,3,6,11,2,1,14,15,18,?,11,1,K
9,9,8,8,1,15,11,8,8,?,14,?,?,?,4,N
8,6,8,8,14,8,8,10,?,?,14,14,12,11,?,H
10,9,9,2,8,12,12,9,11,11,?,10,?,12,5,G
9,16,9,3,1,5,13,?,?,10,15,16,14,?,3,V
9,10,10,11,1,5,?,?,10,?,15,13,14,12,5,W
4,12,15,4,4,9,11,10,15,?,15,13,?,7,7,X
11,10,13,4,5,?,12,?,13,12,12,11,13,12,6,O
12,15,7,3,2,?,14,?,12,12,?,9,14,7,9,T
8,10,10,6,10,?,12,?,13,10,13,11,13,10,8,T
8,9,10,3,12,15,14,?,?,9,11,9,10,11,?,B
9,10,17,1,2,6,11,7,9,11,?,9,13,?,?,I
10,11,10,6,2,9,10,2,?,9,13,?,?,?,3,N
10,9,9,0,1,?,?,?,7,11,8,8,13,10,1,I
9,13,18,0,3,?,13,?,?,6,13,13,12,?,4,P
11,6,10,3,1,?,10,8,8,10,12,11,?,11,4,A
9,9,8,1,9,11,13,1,4,?,15,16,11,12,?,B
10,10,13,3,4,9,10,7,?,11,14,13,14,?,4,X
10,9,9,3,7,?,10,4,4,10,?,16,?,7,1,X
9,13,10,2,0,4,13,3,?,11,15,?,15,11,2,Y
6,4,3,1,1,10,11,2,5,?,13,17,14,10,4,L
11,10,9,3,12,11,12,8,?,11,?,12,?,11,6,S
11,9,10,3,11,12,12,8,9,8,13,?,11,10,7,B
9,9,10,12,0,14,9,8,?,?,?,15,11,17,6,M
7,11,11,4,5,?,12,10,13,9,12,12,11,10,4,D
10,5,12,2,3,8,?,9,9,10,12,?,11,?,6,L
9,9,10,5,6,10,12,8,?,?,?,13,12,11,5,G
6,15,18,3,6,?,7,10,?,6,14,14,15,?,4,T
7,11,16,4,4,?,12,9,11,13,?,14,?,10,7,C
16,6,16,0,1,8,11,?,1,15,15,16,11,13,2,J
8,11,9,4,12,16,13,10,12,10,?,?,11,11,6,B
11,5,12,8,1,4,?,14,13,12,15,11,8,11,7,M
9,10,11,0,9,13,11,2,3,11,14,16,12,?,?,Z
9,9,9,0,6,13,12,?,2,18,?,?,10,8,2,C
6,18,14,2,5,9,?,12,13,5,12,12,14,?,4,P
9,9,10,0,1,8,10,?,4,11,9,9,11,?,0,I
6,16,11,3,1,4,?,?,?,9,15,15,14,10,2,V
7,11,18,3,5,13,?,8,?,14,13,13,15,?,4,C
11,10,8,9,12,7,?,9,11,9,14,?,?,10,12,B
9,6,14,5,9,7,11,13,?,16,?,12,10,10,7,L
9,8,10,13,6,7,11,8,?,11,13,12,12,?,10,U
6,5,4,1,2,11,8,10,?,9,13,12,14,7,8,L
12,10,10,13,3,6,11,?,10,12,14,12,?,12,?,W
5,10,14,6,5,?,11,6,?,13,15,17,?,8,4,U
10,10,9,12,0,5,13,7,?,?,12,16,13,?,6,W
10,10,10,3,9,7,9,?,9,12,13,14,11,8,?,X
11,9,7,1,12,?,11,8,10,?,13,12,13,8,5,S
10,9,9,8,4,14,?,9,?,7,14,?,13,8,8,D
12,15,7,3,1,4,?,3,6,12,14,16,?,?,1,V
11,9,14,3,6,9,13,6,?,12,?,15,10,6,6,E
14,9,13,12,3,7,?,?,15,8,16,11,12,8,9,M
10,11,10,3,7,9,10,7,?,?,14,13,12,11,8,B
11,12,9,3,0,5,12,?,4,11,14,16,13,11,1,V
6,16,15,3,3,?,11,10,13,6,14,14,?,9,7,T
11,9,11,4,8,10,11,7,13,?,?,12,13,14,?,Q
16,6,16,0,0,8,10,1,2,13,?,16,?,11,1,J
5,13,13,6,2,5,12,?,7,10,?,14,15,10,5,W
11,14,9,3,2,8,?,8,9,10,13,11,16,7,6,T
10,9,12,12,3,?,10,9,14,?,16,15,11,8,9,M
8,10,10,5,4,11,12,?,5,11,14,?,13,?,3,H
5,15,13,3,2,6,?,?,?,9,16,16,15,10,2,V
8,12,10,3,0,4,13,7,?,11,12,11,14,12,1,Y
4,14,15,3,3,10,10,8,8,8,?,16,16,?,?,Y
9,10,10,8,11,5,?,9,10,13,15,16,7,8,?,K
9,11,12,4,2,14,11,8,8,10,14,15,?,8,4,U
12,8,16,1,3,9,9,?,?,?,12,?,14,7,1,J
9,8,15,4,7,14,11,?,13,15,13,12,14,?,6,G
1,18,16,1,3,9,10,?,11,?,12,12,15,11,2,F
11,9,11,5,13,8,?,7,10,11,15,13,11,11,10,S
12,9,15,3,6,11,12,10,11,?,14,13,11,?,6,S
4,10,12,7,4,11,10,?,12,14,13,11,?,10,7,U
11,11,9,8,11,7,13,?,?,?,14,12,15,10,12,B
7,11,13,5,5,9,9,?,7,13,?,16,?,7,5,X
8,9,14,3,6,8,11,5,?,?,15,?,13,6,3,E
11,13,10,7,7,14,?,?,13,7,13,?,11,12,6,O
12,9,8,4,8,10,13,8,?,?,11,13,?,13,7,Q
2,16,16,0,3,11,10,13,12,12,13,11,?,9,5,F
10,9,8,0,12,12,12,?,?,12,11,11,12,?,8,S
11,4,11,6,7,7,?,14,14,7,13,12,?,10,6,G
10,14,9,7,1,4,?,5,6,?,15,?,16,11,3,W
15,3,11,4,4,4,?,8,9,11,14,?,10,11,6,A
9,9,18,1,2,6,11,4,6,11,?,11,11,?,2,I
10,9,16,3,5,?,?,5,?,13,17,13,12,7,5,E
10,13,9,9,1,4,14,5,8,11,?,16,13,11,?,W
10,11,8,10,13,?,?,11,12,10,13,11,13,12,14,H
9,10,15,3,7,12,11,?,11,11,14,?,12,?,4,S
9,10,10,9,11,?,11,9,13,10,11,?,16,10,11,R
12,9,11,4,7,5,?,?,?,7,?,11,14,9,5,I
11,10,14,3,7,?,?,10,12,12,12,9,15,8,5,S
9,11,17,4,4,8,13,11,11,?,14,11,?,12,?,S
7,11,10,7,8,8,10,10,9,?,15,14,14,8,7,R
10,12,9,3,3,8,13,?,13,12,12,9,14,8,?,Y
16,6,16,0,1,7,12,2,?,15,13,15,11,?,?,J
8,10,13,4,7,9,12,7,8,?,14,?,10,11,5,G
10,11,12,5,4,?,11,8,11,6,14,?,?,11,7,D
11,8,10,5,1,17,11,6,6,12,13,11,?,?,3,U
10,8,13,4,8,?,11,12,?,7,?,14,16,9,6,Y
9,9,10,4,5,?,11,5,11,10,11,?,?,11,4,X
10,8,10,8,1,?,?,2,3,11,14,?,?,16,2,M
11,12,13,4,5,9,13,9,?,6,14,13,14,?,8,P
10,10,10,8,8,10,12,9,9,?,?,13,?,9,8,E
11,11,10,9,11,?,11,10,13,9,12,?,14,10,?,D
9,6,10,3,5,8,?,10,12,12,11,?,?,7,5,L
7,9,8,5,5,12,?,10,?,12,13,10,14,9,?,G
8,13,18,2,2,?,12,6,5,7,?,13,15,8,2,F
10,11,7,3,7,14,?,3,7,?,13,14,?,11,3,G
5,11,16,3,4,12,?,11,?,16,13,13,15,?,5,C
8,8,8,3,6,?,12,7,8,11,15,?,10,11,6,L
9,8,9,3,8,14,?,6,10,13,13,?,9,10,5,G
8,9,9,4,8,?,13,9,?,14,?,11,10,8,8,E
11,9,12,11,13,?,7,14,?,9,15,?,10,10,11,B
8,9,8,4,8,?,13,5,?,?,13,?,10,8,6,K
2,18,16,0,4,7,11,6,?,7,10,?,13,?,3,F
7,15,10,9,1,4,14,7,?,?,14,?,14,10,?,W
10,16,8,2,1,5,12,?,10,11,14,16,12,10,2,Y
11,12,9,3,1,5,?,7,10,10,12,11,?,13,4,V
18,4,16,3,3,?,9,10,14,?,13,10,10,?,6,A
12,10,10,17,5,7,?,8,12,11,13,?,15,12,13,W
12,8,14,3,7,9,12,5,?,10,16,?,12,8,?,B
8,5,11,1,3,8,12,5,7,?,?,13,11,5,?,L
9,9,13,0,8,10,10,2,2,10,13,17,?,6,0,Z
11,20,10,0,0,6,10,9,12,12,13,?,?,7,?,T
10,11,10,4,1,5,12,8,10,11,14,10,14,12,2,V
10,11,15,2,7,11,13,?,8,11,16,?,12,6,?,Z
8,8,8,3,5,13,?,?,9,?,14,15,12,11,?,L
14,2,12,5,3,5,9,5,7,12,?,16,?,10,3,A
6,9,9,1,8,12,?,3,?,17,12,16,12,8,?,E
9,9,10,3,4,?,10,5,4,6,13,15,13,?,2,D
9,9,8,0,12,13,12,6,9,14,?,17,13,7,3,S
10,11,8,4,8,15,?,7,8,12,?,14,12,9,4,E
4,9,10,0,10,15,12,7,?,18,?,11,?,8,4,E
4,14,15,10,3,7,12,?,13,?,15,16,?,10,7,W
4,12,15,1,4,12,10,8,8,15,?,?,12,9,3,C
7,10,17,3,6,14,?,12,12,18,13,11,?,9,5,C
15,9,13,1,2,7,11,7,?,8,13,11,12,5,?,J
11,11,8,9,7,8,11,7,?,?,15,12,13,?,12,U
11,9,14,4,5,11,?,10,11,?,?,11,13,13,?,O
13,11,9,12,10,7,9,?,12,10,13,?,10,?,?,U
10,6,9,3,2,3,11,2,3,?,?,15,10,11,0,A
11,6,9,5,0,18,12,?,9,?,14,?,13,17,4,U
9,9,9,0,1,?,?,9,6,11,8,7,?,10,2,I
10,10,10,9,13,7,?,12,13,14,13,10,14,?,11,G
14,13,5,6,8,6,15,5,12,?,11,13,?,?,9,Y
6,16,16,3,3,10,11,11,13,?,12,13,18,?,8,T
11,7,7,4,8,14,?,8,10,10,?,11,9,11,7,L
11,10,11,7,5,?,9,16,15,9,?,14,13,7,5,K
10,8,11,10,12,?,12,?,15,12,11,13,?,12,14,Y
8,13,9,3,5,10,12,?,4,10,?,19,?,14,2,R
11,7,9,4,5,14,?,6,8,12,13,14,?,11,3,Q
13,11,16,6,6,8,11,?,13,8,?,?,12,7,8,F
13,10,15,3,4,9,11,5,?,10,15,14,11,5,?,X
7,15,13,2,5,10,12,7,?,?,?,13,14,14,3,P
11,11,9,6,12,?,13,?,?,13,11,15,14,12,?,Y
11,11,8,5,6,15,11,6,11,14,13,17,?,10,?,O
9,12,8,5,9,?,?,?,10,13,16,?,10,12,8,E
9,9,14,5,4,10,?,8,10,13,16,15,14,?,?,X
8,8,7,5,6,17,?,7,9,?,12,17,?,11,?,D
14,6,15,4,7,10,13,13,?,9,10,?,8,8,4,I
6,14,15,2,3,9,10,8,7,6,14,14,?,7,?,T
12,11,10,6,9,?,9,10,10,8,14,?,12,10,10,D
9,9,12,3,5,10,?,?,7,?,15,15,11,11,4,G
7,15,12,3,2,6,12,4,?,10,15,18,15,?,2,V
6,15,14,3,3,9,?,?,9,?,?,13,17,9,4,F
10,8,12,7,9,10,9,?,12,10,13,?,?,9,7,D
9,8,9,3,11,?,9,8,9,12,12,10,14,12,?,A
9,9,9,5,5,7,11,8,?,?,13,12,12,10,?,X
6,15,14,2,5,9,13,10,?,6,12,11,14,13,4,P
15,3,12,7,4,5,11,10,13,?,13,?,?,10,5,A
12,3,11,3,4,6,10,?,?,11,12,10,?,9,?,A
10,14,8,8,0,?,14,3,6,10,15,17,14,11,?,W
11,11,9,4,12,?,13,7,11,10,?,13,13,9,7,J
13,4,15,5,6,7,11,13,11,10,?,11,10,?,?,D
10,13,16,2,3,8,?,7,8,4,14,14,13,10,4,P
11,8,14,4,4,8,11,?,8,11,?,13,12,8,5,H
8,16,15,3,3,8,11,8,7,6,?,?,16,?,3,T
10,15,6,5,3,5,14,10,12,12,11,10,?,10,?,V
7,9,8,4,5,?,11,10,10,6,?,10,13,11,5,D
3,13,17,1,3,10,11,12,13,?,15,13,17,?,5,Y
14,10,14,4,4,9,13,?,?,10,12,10,8,?,5,R
8,10,8,3,3,12,?,?,2,8,14,16,?,12,3,D
4,12,14,4,3,12,12,9,9,13,?,16,14,8,4,U
9,9,8,7,1,?,10,4,7,?,11,15,11,17,?,N
10,9,9,0,5,?,?,7,7,11,10,9,12,6,5,I
11,8,13,4,5,10,?,11,14,11,?,13,?,?,6,X
8,16,18,2,3,8,10,5,?,6,?,13,15,9,?,F
12,11,12,7,5,?,11,14,14,7,16,?,9,7,6,K
7,10,12,3,5,15,?,7,9,17,12,10,?,11,?,C
10,10,9,4,7,10,11,?,?,10,12,9,10,9,?,R
13,12,10,5,7,10,13,?,14,11,15,10,?,9,8,R
9,6,10,2,2,3,?,7,7,11,11,?,11,12,4,A
10,11,10,4,1,?,11,4,7,10,14,17,13,18,4,H
10,11,11,9,11,10,11,8,11,12,?,14,?,?,10,B
5,14,16,2,2,8,11,5,?,?,14,15,14,10,2,Y
11,11,8,5,7,12,13,?,8,11,13,?,12,12,4,Q
11,10,8,4,13,9,12,9,?,?,13,15,10,9,?,I
11,6,8,4,12,?,14,?,?,9,12,11,?,9,8,X
12,7,8,2,6,6,11,11,13,?,11,10,14,9,5,I
9,10,9,0,1,?,12,3,4,11,10,13,11,?,2,I
7,11,13,4,3,11,10,4,5,?,15,?,14,8,2,U
9,10,18,1,2,7,10,9,9,?,12,12,13,6,?,I
10,8,8,6,14,8,?,?,14,12,14,10,10,8,10,X
10,10,9,3,6,10,12,4,6,13,15,?,12,?,3,G
7,13,10,3,8,11,13,5,?,11,13,17,8,12,5,R
13,8,14,8,7,?,12,12,?,10,?,13,10,8,9,H
7,12,14,7,2,6,?,8,10,?,13,?,12,9,5,N
2,16,15,0,5,?,11,6,6,9,12,12,14,11,3,F
10,10,9,0,5,9,12,?,4,?,?,16,13,?,2,I
10,10,8,9,11,7,12,8,10,10,14,13,11,?,8,H
5,11,14,3,4,12,11,9,8,15,13,11,?,9,4,C
9,10,14,5,5,?,11,6,8,12,?,15,13,5,6,X
9,10,10,4,9,8,10,8,9,?,16,15,10,8,5,X
13,7,12,11,3,7,11,11,13,9,?,13,10,7,8,M
2,17,16,0,3,8,11,5,6,10,12,17,13,11,2,F
10,11,13,3,4,7,11,5,6,10,15,16,11,9,?,R
9,8,7,3,6,13,?,9,10,12,15,15,?,11,8,L
9,11,13,9,7,9,13,14,14,13,?,12,?,?,6,H
11,8,13,4,4,12,11,?,?,?,13,12,12,12,6,O
10,9,17,0,3,7,10,9,?,12,10,7,11,?,?,I
14,8,15,2,2,6,9,?,4,?,14,14,?,8,3,J
8,13,11,15,6,8,12,12,14,?,16,15,18,12,?,W
7,9,8,4,6,?,12,7,?,8,11,16,11,12,5,D
9,10,9,4,6,?,10,7,11,?,12,14,12,11,3,X
10,15,9,6,8,4,?,10,?,10,15,?,15,11,8,V
9,9,14,5,4,6,13,10,?,12,15,?,?,7,7,K
11,10,8,4,9,11,11,4,?,?,15,18,11,6,3,X
10,9,9,0,0,7,?,8,7,?,7,9,12,12,2,I
11,8,13,5,5,11,11,12,?,?,12,12,14,?,7,O
9,8,10,13,8,8,9,9,12,?,14,11,12,?,11,U
6,15,15,1,3,9,11,11,?,?,13,15,?,7,4,Y
2,17,15,0,4,7,10,9,9,?,12,9,14,?,?,F
10,3,10,3,4,4,8,6,6,12,15,?,?,10,5,A
9,9,9,1,6,?,10,11,?,11,13,12,11,6,6,I
10,6,15,4,8,?,13,11,11,16,14,12,12,9,?,L
12,9,13,4,5,11,11,7,9,8,15,?,?,8,?,D
9,12,9,2,0,4,13,1,3,?,16,18,14,11,1,Y
8,9,9,3,6,8,12,4,3,10,13,15,?,?,3,R
10,11,9,7,6,9,?,4,5,9,?,17,12,9,3,R
8,14,15,3,4,8,?,4,4,7,14,?,16,7,3,T
9,10,8,5,1,?,12,2,3,?,?,18,11,17,1,N
8,8,8,3,10,?,13,8,8,10,12,13,?,13,6,B
4,5,4,1,2,10,10,?,?,12,12,13,13,7,5,L
10,11,16,5,7,6,?,?,7,6,14,11,?,10,6,P
16,4,13,3,4,4,9,7,11,12,?,12,10,11,?,A
10,11,9,1,8,?,11,3,?,?,15,18,11,11,2,B
8,11,14,7,2,6,11,5,7,10,15,?,11,9,5,N
4,9,13,14,5,?,10,10,?,?,16,15,11,10,11,M
9,11,13,3,4,9,12,?,7,?,16,?,13,5,5,X
6,14,13,2,4,9,13,3,3,?,14,16,12,?,3,P
4,15,12,8,2,?,13,8,10,?,14,16,14,11,?,W
10,10,8,4,7,9,?,5,7,12,12,15,11,12,6,Q
10,14,12,2,1,4,11,5,10,?,13,15,13,?,2,Y
10,7,10,4,0,17,11,6,9,?,12,?,?,15,?,U
9,9,11,3,12,10,12,5,?,11,?,16,12,11,3,S
8,11,14,5,5,?,8,6,?,13,15,?,?,8,5,H
10,15,8,4,1,5,14,8,?,12,11,12,12,10,?,V
12,9,14,3,7,?,12,7,7,8,15,13,11,8,6,B
11,9,9,3,10,13,?,6,8,11,?,13,?,?,4,Z
11,9,14,9,8,7,?,14,16,?,16,10,12,9,9,H
9,14,9,3,2,5,13,7,10,12,13,12,14,?,4,V
9,15,10,3,2,6,?,?,7,12,16,19,14,10,2,V
9,9,9,4,5,?,9,10,?,6,13,11,?,9,8,D
12,8,14,4,7,10,?,8,11,10,14,?,10,10,10,B
11,7,9,10,7,8,9,11,13,14,?,14,?,13,10,C
9,9,15,1,2,7,12,7,8,11,?,9,12,?,4,I
10,9,9,1,1,7,10,5,8,?,7,11,12,11,1,I
11,12,8,4,1,7,13,11,15,11,13,?,?,12,?,V
8,8,10,2,5,15,?,7,9,16,13,?,?,8,3,C
10,10,11,1,9,12,?,?,4,11,14,?,13,?,3,Z
9,9,8,3,7,10,11,4,5,?,14,17,12,?,?,B
3,12,15,2,5,13,10,12,?,17,14,?,?,8,6,C
10,9,5,8,1,14,11,?,?,11,12,12,12,18,?,N
12,10,14,4,6,8,11,9,12,10,15,12,?,6,7,X
9,19,9,0,1,6,10,9,9,?,11,9,?,7,2,T
12,8,13,3,7,10,12,9,?,?,14,14,?,9,7,S
13,10,15,1,0,6,10,?,4,10,14,15,?,8,1,J
4,11,17,2,4,12,10,9,12,17,?,13,?,9,6,C
9,7,9,4,0,?,10,10,12,11,12,11,12,?,?,H
9,10,7,8,1,?,12,5,8,10,13,?,?,18,4,N
9,10,17,0,2,8,?,4,5,?,?,13,11,5,2,I
11,10,9,3,7,?,12,2,5,11,15,18,?,7,4,X
11,10,9,9,10,7,?,8,9,10,?,13,12,11,9,H
6,14,18,2,3,9,9,6,8,?,14,14,13,9,?,F
9,12,8,10,5,?,11,?,10,11,14,14,12,12,?,N
8,10,9,4,8,11,?,?,13,11,12,8,11,10,8,R
9,6,8,1,3,10,9,6,7,?,14,12,?,?,2,L
5,16,13,3,2,6,13,?,8,10,15,14,13,?,?,V
10,8,9,11,3,10,9,10,11,11,?,?,10,10,9,M
11,11,11,8,17,8,11,?,15,11,15,13,?,?,13,S
5,15,16,2,3,9,12,9,11,8,12,11,17,?,4,Y
12,9,13,4,5,9,10,?,?,8,16,15,11,9,5,D
9,9,11,3,15,5,8,7,8,9,16,15,?,11,?,S
9,13,11,5,10,7,15,?,?,11,13,11,?,10,?,C
8,10,9,11,0,?,13,?,11,10,?,11,14,12,6,W
10,10,12,0,9,13,10,9,11,11,10,11,12,5,?,Z
11,11,9,4,1,7,?,?,10,11,13,15,?,?,3,V
10,9,10,5,5,?,12,5,8,10,14,15,11,?,2,X
12,14,4,8,3,11,10,14,12,14,?,13,14,11,?,N
1,2,1,0,0,?,11,8,10,9,12,?,12,10,3,L
9,9,11,7,5,?,13,?,9,10,?,12,13,11,9,V
15,4,11,3,3,4,11,6,7,11,13,13,?,10,?,A
4,18,15,0,5,8,?,7,8,5,13,?,14,?,3,P
7,11,14,5,1,?,12,8,9,12,13,11,14,?,?,U
9,11,17,0,1,6,?,?,6,10,?,14,13,6,3,I
5,14,12,6,2,4,?,?,10,10,14,15,14,?,5,V
7,15,15,3,5,?,10,10,14,8,13,?,16,8,6,F
10,10,12,1,11,18,11,11,?,?,12,11,?,3,?,Z
10,7,13,7,10,8,12,13,10,13,14,13,9,?,7,B
8,13,10,1,0,5,?,11,?,11,12,9,15,10,2,Y
7,9,11,3,5,10,11,9,9,?,14,13,12,?,4,G
14,7,14,5,5,7,12,7,?,10,13,?,11,8,7,D
9,11,9,4,1,11,?,?,8,11,14,13,?,17,6,H
15,3,18,2,0,13,10,9,10,?,11,10,?,14,2,J
8,12,12,5,6,10,?,10,13,?,14,10,15,?,9,P
12,8,9,2,10,14,11,10,?,9,12,12,11,8,5,Z
9,8,9,9,0,?,9,3,4,11,14,17,10,15,3,M
11,4,9,2,3,8,9,?,6,10,?,13,?,8,4,L
9,19,10,1,1,5,12,?,2,?,16,17,13,9,1,T
11,12,11,7,7,5,11,?,?,?,11,13,13,13,9,P
11,8,8,4,7,?,?,9,13,13,11,12,11,15,8,Q
12,15,7,3,2,6,14,8,7,12,13,?,13,10,6,V
9,10,15,4,7,?,8,9,?,12,14,13,14,6,4,Z
9,19,9,0,0,?,12,8,10,11,11,9,12,?,2,T
11,6,12,6,8,9,12,12,10,?,?,12,8,9,7,D
11,9,9,5,6,14,?,5,9,10,14,17,12,10,?,O
12,8,15,5,8,8,12,12,14,11,13,?,11,5,11,E
9,9,7,8,1,14,11,9,?,11,12,?,13,18,3,N
6,15,14,3,2,8,?,7,?,10,15,15,12,?,4,V
11,11,9,12,0,7,11,7,13,?,14,?,13,?,7,W
9,10,10,8,0,4,?,1,3,10,15,17,14,13,2,W
11,10,10,3,12,10,11,5,?,?,?,15,13,11,3,S
11,10,15,3,8,7,15,14,?,8,12,10,?,9,7,I
6,16,17,1,3,7,9,9,11,5,12,?,16,10,4,F
11,10,9,11,13,9,8,11,14,11,13,14,?,?,?,V
8,11,15,3,7,13,?,12,?,15,14,13,?,9,4,C
10,8,10,3,10,12,12,8,8,9,12,11,13,?,6,B
9,9,9,3,4,?,10,5,7,7,14,18,13,?,?,D
10,9,10,4,4,11,10,6,9,?,14,16,12,?,?,H
